bioguide,name,opensecrets,rss_url,state,twitter,twitter_id
P000611,Bruce Poliquin,N00034584,,ME,RepPoliquin,2932617195
M001194,John R. Moolenaar,N00036275,,MI,RepMoolenaar,2696643955
B001293,Mike Bishop,N00036449,,MI,RepMikeBishop,2914571740
T000475,David A. Trott,N00035607,,MI,repdavetrott,2869746172
D000624,Debbie Dingell,N00036149,,MI,RepDebDingell,2970279814
L000581,Brenda L. Lawrence,N00034068,,MI,RepLawrence,2863006655
E000294,Tom Emmer,N00035440,,MN,RepTomEmmer,2914515430
R000603,David Rouzer,N00033527,,NC,RepDavidRouzer,834069080
M001193,Thomas MacArthur,N00036155,,NJ,RepTomMacArthur,2962994194
W000822,Bonnie Watson Coleman,N00036158,,NJ,RepBonnie,2968451607
Z000017,Lee M. Zeldin,N00029404,,NY,RepLeeZeldin,2750127259
R000602,Kathleen M. Rice,N00035927,,NY,RepKathleenRice,2970462034
S001196,Elise M. Stefanik,N00035523,,NY,RepStefanik,2962813893
K000386,John Katko,N00035934,,NY,RepJohnKatko,2966765501
R000604,Steve Russell,N00036175,,OK,RepRussell,2966758114
C001106,Ryan A. Costello,N00031064,,PA,RepRyanCostello,2953922782
B001296,Brendan F. Boyle,N00035307,,PA,CongBoyle,4304448314
R000601,John Ratcliffe,N00035972,,TX,RepRatcliffe,2847221717
H001073,Will Hurd,N00031417,,TX,hurdonthehill,2963445730
B001291,Brian Babin,N00005736,,TX,RepBrianBabin,2929491549
L000584,Mia B. Love,N00033842,,UT,repmialove,2976598347
B001292,"Donald S. Beyer, Jr.",N00036018,,VA,repdonbeyer,2962868158
C001105,Barbara Comstock,N00036023,,VA,RepComstock,2933760046
P000610,Stacey E. Plaskett,N00035000,,VI,staceyplaskett,2724095695
N000189,Dan Newhouse,N00036403,,WA,RepNewhouse,2930635215
G000576,Glenn Grothman,N00036409,,WI,RepGrothman,2976606250
M001195,Alexander X. Mooney,N00033814,,WV,RepAlexMooney,2964526557
J000297,Evan H. Jenkins,N00035531,,WV,RepEvanJenkins,2953713339
R000600,Aumua Amata Coleman Radewagen,N00007635,,AS,RepAmata,3026622545
S001198,Dan Sullivan,N00035774,,AK,SenDanSullivan,2891210047
P000612,David Perdue,N00035516,,GA,sendavidperdue,2863210809
E000295,Joni Ernst,N00035483,,IA,SenJoniErnst,2856787757
T000476,Thom Tillis,N00035492,,NC,senthomtillis,2964174789
R000605,Mike Rounds,N00035187,,SD,SenatorRounds,2955485182
W000819,Mark Walker,N00035311,,NC,RepMarkWalker,2966205003
S001197,Ben Sasse,N00035544,,NE,SenSasse,2962923040
D000625,"Daniel M. Donovan, Jr.",N00036928,,NY,RepDanDonovan,3353670647
K000388,Trent Kelly,N00037003,,MS,reptrentkelly,3317799825
L000585,Darin LaHood,N00037031,,IL,RepLaHood,3686482216
D000626,Warren Davidson,N00038767,,OH,WarrenDavidson,742735530287304704
